Category,Neutral,Oppose,Support
"Branding, Marketing and Distribution 001",0,1,10
Dail Eireann 001,29,47,48
Dail Eireann 002,0,0,3
Dail Eireann 004,1,0,4
"Department of Agriculture, Food and the Marine 004",62,4,144
"Department of Business, Employment and Retail 001",1,0,6
"Department of Environment, Climate and Communications 004",0,0,1
Department of Finance 001,3,3,33
Department of Foreign Affairs 001,0,0,1
Department of Public Expenditure and Reform 001,13,0,9
Department of Rural and Community Development 001,1,0,2
"Department of Transport, Tourism and Sport 001",5,0,42
Department of the Taoiseach 001,1,0,1
Government of Ireland 001,10,4,43
Inputs 009,1,0,7
Inputs 015,2,0,0
Inputs 019,1,0,5
International organisation 004,1,0,4
International organisation 007,1,2,0
NGO 001,0,1,1
NGO 002,8,8,5
NGO 005,2,0,1
NGO 009,0,1,1
NGO 011,0,0,2
NGO 015,3,1,6
NGO 016,1,0,1
NGO 017,0,0,4
NGO 025,4,4,9
NGO 026,0,1,2
NGO 028,0,0,3
NGO 029,1,1,1
Political Party 002,19,23,50
Political Party 003,37,11,92
Political Party 004,32,29,328
Political Party 005,23,43,30
Political Party 006,9,11,28
Political Party 009,33,80,80
Political Party 010,7,17,10
Political Party 012,0,2,5
Political party 008,10,53,21
Processors 004,2,0,2
Processors 006,1,0,3
Processors 009,0,1,2
Producers 018,0,3,0
Research and Regulatory 020,6,3,25
Research and Regulatory 028,5,0,3
Research and Regulatory 029,6,4,10
Research and Regulatory 043,1,0,7
Research and Regulatory 045,0,0,1
Research and Regulatory 047,7,5,8
Research and Regulatory 048,2,5,12
Research and Regulatory 053,0,0,8
Research and Regulatory 054,0,0,1
Research and Regulatory 055,2,2,15
Research and Regulatory 079,0,1,3
Research and Regulatory 080,0,0,3
Research and Regulatory 086,0,2,10
Research and Regulatory 089,8,0,6
Research and Regulatory 090,1,3,2
Research and Regulatory 091,10,1,12
Research and Regulatory 092,10,0,17
Research and Regulatory 093,1,1,2
Research and Regulatory 094,1,0,5
Research and Regulatory 095,6,0,0
Research and Regulatory 097,4,3,14
Seanad Eireann 001,32,55,84
Semi-state agency  011,6,5,8
Semi-state agency 012,52,4,78
State Agencies  001,3,0,10
State Agencies and Local Authorities 008,0,0,2
Telecommunications and Financial Services 001,5,1,2
Telecommunications and Financial Services 004,0,0,2
Trade Association 002,1,0,1
Trade Association 005,3,0,2
Trade Association 008,3,1,9
Trade Association 011,14,8,22
Trade Association 013,15,10,37
Trade Association 015,1,0,5
Trade Association 016,0,0,2
Trade Association 019,1,1,0
Trade Association 022,0,0,1
Trade Association 023,2,0,0
